,symbol,stock_val_10,stock_val_11,stock_val_12,stock_val_13,stock_val_14,stock_val_15,stock_val_16,rating,After Tax ROE,Capital Expenditures,Cost of Revenue,Depreciation,Earnings Before Tax,Fixed Assets,Goodwill,Gross Margin,Gross Profit,Investments,Liabilities,Long-Term Debt,Long-Term Investments,Net Borrowings,Net Income,Total Assets,Total Liabilities & Equity,Total Revenue,For Year,Estimated Shares Outstanding
0,AAL,21940919.0,27866241.0,94575600.0,180956650.0,569872390.626,287509901.4222,209871545.505,4,135.0,-6151000000.0,11096000000.0,1487000000.0,4616000000.0,27510000000.0,4091000000.0,73.0,29894000000.0,443000000.0,-633000000.0,18330000000.0,0.0,2856000000.0,7610000000.0,48415000000.0,48415000000.0,40990000000.0,2015,668129938.543
1,AAP,31745385.9598,31507573.642500002,32883074.091,42202284.0,74558967.5319,114131729.2085,82750413.5535,4,19.0,-234747000.0,5314246000.0,269476000.0,752888000.0,1434577000.0,989484000.0,45.0,4422772000.0,0.0,174667000.0,1213161000.0,0.0,-426322000.0,473398000.0,8134565000.0,8134565000.0,9737018000.0,2015,73395038.7597
2,AAPL,2229212249.8409266,2598682525.6627917,12534359449.008522,4469814622.09571,4570107167.7898,4277271759.2706,3542505266.0,3,36.0,-12734000000.0,131376000000.0,10505000000.0,61372000000.0,27010000000.0,5414000000.0,39.0,84263000000.0,-32022000000.0,-1867000000.0,75427000000.0,170430000000.0,22057000000.0,45687000000.0,321686000000.0,321686000000.0,215639000000.0,2016,5471497005.99
3,ABC,37412578.9035,31217285.1606,55926736.0,44091399.745799996,88266643.916,114765484.8934,108488627.775,3,67.0,-464616000.0,142577080000.0,392166000.0,1390910000.0,1530682000.0,5991497000.0,3.0,4272606000.0,40712000.0,3094340000.0,3870244000.0,0.0,713214000.0,1427929000.0,33656200000.0,33656200000.0,146849686000.0,2016,212173699.851
4,ABT,265833156.3466361,231542991.60261053,597679415.8964747,176095695.1884,153905372.0,186677397.0,401215495.99999994,2,21.0,-1110000000.0,8747000000.0,1472000000.0,3183000000.0,5732000000.0,9638000000.0,57.0,11658000000.0,-821000000.0,215000000.0,5871000000.0,4041000000.0,1147000000.0,4423000000.0,41247000000.0,41247000000.0,20405000000.0,2015,1504421768.71
5,ADBE,87455216.8413,98150613.0,174631728.0,83311045.3913,98821105.9221,132314492.81700002,214043338.7627,4,9.0,-184936000.0,744317000.0,339473000.0,873781000.0,787421000.0,5366881000.0,84.0,4051194000.0,-535197000.0,350908000.0,1907231000.0,80439000.0,387091000.0,629551000.0,11726472000.0,11726472000.0,4795511000.0,2015,499643650.794
6,ADI,31145554.3464,36885600.9691,99518168.3661,43647010.0,96982336.0,77558640.0,127702275.2755,3,17.0,-127397000.0,1194236000.0,209790000.0,956921000.0,636116000.0,1679116000.0,65.0,2227173000.0,-989183000.0,101593000.0,1732177000.0,21937000.0,857175000.0,861664000.0,7970278000.0,7970278000.0,3421409000.0,2016,897566666.667
7,ADM,85538496.0,54471560.0,125692705.411,95631904.407,134950400.0,92316224.0,114535855.018,2,10.0,-1125000000.0,63682000000.0,882000000.0,2284000000.0,9853000000.0,0.0,6.0,4020000000.0,35000000.0,-1693000000.0,5779000000.0,4340000000.0,240000000.0,1849000000.0,40157000000.0,40141000000.0,67702000000.0,2015,618394648.829
8,ADS,27034017.619400002,38233886.5272,52765018.1775,152709739.93440002,72342041.96519999,72488998.83469999,77392950.0,4,30.0,-191683000.0,4482700000.0,524467000.0,931676000.0,576706000.0,3814078000.0,30.0,1957046000.0,-2899032000.0,98026000.0,10136018000.0,0.0,3009130000.0,596541000.0,22421830000.0,22421830000.0,6439746000.0,2015,66951851.8519
9,ADSK,56967661.4913,34330527.0,90372269.887,100755736.0,114065953.89919999,82109268.0,113205699.0592,3,20.0,-72400000.0,370700000.0,145800000.0,-20300000.0,169300000.0,1535000000.0,85.0,2133400000.0,-544100000.0,385400000.0,1487700000.0,532300000.0,748300000.0,-330500000.0,5515300000.0,5515300000.0,2504100000.0,2016,226369863.014
10,AEE,30261966.0735,43204834.3041,75604989.5389,38015008.0,62077142.3457,89883816.0,49873721.0493,4,9.0,-1917000000.0,3501000000.0,896000000.0,948000000.0,18799000000.0,411000000.0,43.0,2597000000.0,-2000000.0,-91000000.0,6880000000.0,556000000.0,664000000.0,636000000.0,23640000000.0,23640000000.0,6098000000.0,2015,244615384.615
11,AEP,46317053.99999999,69433849.6808,140374520.0,67992680.9094,117942529.94240001,143070331.0,105583918.323,4,10.0,-4130000000.0,7685700000.0,2041800000.0,2402900000.0,43635100000.0,52500000.0,53.0,8692900000.0,-152100000.0,162800000.0,16012000000.0,2389900000.0,767400000.0,1638000000.0,59544600000.0,59544600000.0,16378600000.0,2014,490419161.677
12,AFL,76344147.0,82081520.2052,138876925.3856,80834683.6303,99992112.0,60534942.0212,83095437.61219999,3,14.0,0.0,13049000000.0,0.0,3862000000.0,427000000.0,0.0,37.0,7823000000.0,-4811000000.0,3488000000.0,5952000000.0,102315000000.0,-18000000.0,2533000000.0,118296000000.0,118296000000.0,20872000000.0,2015,430782312.925
13,AIG,180097068.8744,52571202.266,698858790.2023,253019110.0437,283080130.8918,301515039.86550003,275523288.56259996,3,2.0,0.0,36581000000.0,4629000000.0,3281000000.0,0.0,0.0,37.0,21746000000.0,8514000000.0,548000000.0,29350000000.0,330845000000.0,-2938000000.0,2196000000.0,496943000000.0,496943000000.0,58327000000.0,2015,1299408284.02
14,AIV,19023408.0,19659071.0,29944594.893400002,22559837.0,32955766.7742,34061526.1491,62761906.3809,4,15.0,-536627000.0,365248000.0,311487000.0,63866000.0,5529461000.0,0.0,63.0,616062000.0,-429000.0,-22334000.0,0.0,0.0,-247022000.0,248710000.0,6144194000.0,6144194000.0,981310000.0,2015,163625000.0
15,AIZ,28770588.000000004,16038036.3906,32853960.9468,18304846.8274,20460570.000000004,16462376.204400001,26725108.2878,2,3.0,-114896000.0,8666624000.0,124117000.0,201181000.0,298414000.0,833512000.0,16.0,1658870000.0,236527000.0,294043000.0,1391801000.0,12615565000.0,0.0,141555000.0,30036402000.0,30036402000.0,10325494000.0,2015,68055288.4615
16,AJG,5885792.0,12011647.6408,21337471.2316,22268285.0,19048568.8092,34823563.1494,63365218.7805,4,10.0,-99000000.0,0.0,356900000.0,293500000.0,249000000.0,3662900000.0,100.0,5392400000.0,0.0,605900000.0,4948800000.0,0.0,78900000.0,356800000.0,10910500000.0,10910500000.0,5392400000.0,2015,172367149.758
17,AKAM,105340242.7611,62303626.06989999,84495514.0,46736508.0,55776263.1141,58992968.1209,64439552.00000001,3,10.0,-311676000.0,725620000.0,318088000.0,456624000.0,753180000.0,1150244000.0,67.0,1471828000.0,153060000.0,54503000.0,624288000.0,774674000.0,0.0,321406000.0,4187925000.0,4187925000.0,2197448000.0,2015,178558888.889
18,ALB,16795357.6989,21907202.1494,21350643.6563,24525590.6131,31093223.5171,37134628.674,38701568.8992,4,10.0,-227649000.0,2454463000.0,260076000.0,358187000.0,2484738000.0,2893811000.0,33.0,1196872000.0,3154000.0,-73151000.0,3174674000.0,455417000.0,-376241000.0,334906000.0,9615014000.0,9615014000.0,3651335000.0,2015,111264451.827
19,ALK,10646381.8122,19621015.9548,29801044.000000004,42591286.7415,53927422.1952,65816926.635,82607632.793,5,35.0,-831000000.0,1935000000.0,320000000.0,1312000000.0,4802000000.0,0.0,65.0,3663000000.0,-152000000.0,131000000.0,571000000.0,0.0,-116000000.0,848000000.0,6533000000.0,6533000000.0,5598000000.0,2015,128290468.986
20,ALL,57011002.2117,64323047.0,132364160.4098,85202389.5622,92722975.0,96860400.0,126411665.11649999,4,11.0,-303000000.0,22837000000.0,371000000.0,3282000000.0,1024000000.0,1219000000.0,36.0,12816000000.0,1045000000.0,1111000000.0,5124000000.0,76205000000.0,-20000000.0,2171000000.0,104656000000.0,104656000000.0,35653000000.0,2015,424023437.5
21,ALXN,36392491.3554,75182250.0,143309708.9424,60540130.278000005,290460092.4302,167497575.0,174703562.1442,3,2.0,-286000000.0,233000000.0,167000000.0,498000000.0,697000000.0,5048000000.0,91.0,2371000000.0,635000000.0,-154000000.0,3405000000.0,0.0,3425000000.0,144000000.0,13097000000.0,13097000000.0,2604000000.0,2015,211764705.882
